municipio_uf,registros,valor_total,quantidade_total,instituicoes,fornecedores,preco_ponderado
VARZEA GRANDE / MT,258,29937970.1632,38678752.0,1,39,0.7740159290351457
VILA VELHA / ES,459,29819038.9565,168927514.0,1,118,0.17651972879030234
SAO JOAO DE MERITI / RJ,250,28703111.29,14716362.0,1,18,1.9504216660340374
DIVINOLANDIA / SP,554,27911338.8,5145060.0,1,57,5.424881109258201
SAO LUIS / MA,36,27798302.74,1377174.0,1,16,20.18503307497818
SAO GABRIEL DO OESTE / MS,2341,27633329.7297,60631969.0,3,83,0.4557551104715072
MACEIO / AL,249,27448618.31,73464725.0,1,74,0.3736299061896713
SAO LEOPOLDO / RS,677,27324733.61,94427585.0,1,48,0.2893723651833307
CACOAL / RO,1139,26847410.5801,28839033.0,1,100,0.9309400415783705
PEDERNEIRAS / SP,2028,26689029.6032,96012782.0,1,227,0.27797371399153914
CAMAQUA / RS,746,26422310.9358,81421660.0,2,57,0.3245120639372865
ALVORADA / RS,584,26362934.64,159442790.0,1,87,0.16534416288124412
SANTOS / SP,427,25613517.268,85216298.0,1,126,0.3005706404659822
ROLIM DE MOURA / RO,1451,24580465.1681,19138546.0,2,100,1.2843433962067965
VARGINHA / MG,736,24338426.21,4716453.0,1,77,5.160324127050561
NOVO REPARTIMENTO / PA,1409,23778094.4568,33248534.0,1,39,0.715162192017248
JAGUARIUNA / SP,966,23508811.35,45777841.0,1,96,0.5135412862742915
PAU D`ARCO / PA,669,23209369.8,4118448.0,2,14,5.6354650586823
TUBARAO / SC,1146,21994310.2117,107020887.0,1,84,0.20551418352288559
RODEIO BONITO / RS,1887,21710256.1351,70063333.0,1,58,0.3098661625917796
PACAJA / PA,1193,21610262.31,21151558.0,1,26,1.0216865495203709
