instituicao_id,instituicao,registros,valor_total,quantidade_total,instituicoes,fornecedores,preco_ponderado
04712762000171,CONSORCIO INTERMUNICIPAL DE DESENVOLVIMENTO SUSTENTAVEL DA REGIAO DOS CAMPOS DE CIMA DA SERRA - CONDESUS,1383,351044474.4752,144997369.0,1,66,2.421040305049949
28715986000103,CONSORCIO INTERMUNICIPAL DO VALE DO SAO FRANCISCO - CONIVALES,2591,338614775.4335,553024610.0,1,218,0.6122960340472009
11718406000120,FUNDO MUNICIPAL DE SAUDE,5417,303459487.788,705159777.0,1,562,0.43034145974551236
46522959000198,MUNICIPIO DE MAUA,727,255988578.7714,204117041.0,1,118,1.2541264439131272
92963560000160,MUNICIPIO DE PORTO ALEGRE,1010,203400710.9408,1040805180.0,1,130,0.19542630537330724
00733062000102,FUNDO ESTADUAL DE SAUDE,828,198339839.47,34373772.0,1,136,5.770092367808805
45317955000105,MUNICIPIO DE ITIRAPUA,505,184356297.095,249061793.0,1,51,0.7402030430857776
46374500000194,SECRETARIA DE ESTADO DA SAUDE,147,158339176.7767,546022742.0,1,51,0.28998641374666406
11112312000103,FUNDO MUNICIPAL DE SAUDE DE IVINHEMA,1410,148313661.82,6092418.0,1,80,24.343973414168232
14051123000166,FUNDO MUNICIPAL DE SAUDE,1275,146669561.785,48356110.0,1,82,3.0331133291118744
02231696000192,CONSORCIO INTERMUNICIPAL DO NOROESTE DO ESTADO DO RIO GRANDE DO SUL-CISA,1589,117165951.0779,473052460.0,1,70,0.24768067177559971
07242772000189,CONSORCIO INTERMUNICIPAL DE SERVICOS DO VALE DO TAQUARI,1465,107370892.363,376091225.0,1,68,0.28549161805888984
09051532000122,FUNDO MUNICIPAL DE SAUDE DE CASCAVEL,1714,103643603.7795,309020421.0,1,180,0.3353940281490329
51501484000193,CONSORCIO INTERMUNICIPAL DO VALE DO PARANAPANEMA,824,94749717.629,243977253.0,1,46,0.3883547194008287
88830609000139,MUNICIPIO DE CAXIAS DO SUL,1683,93489279.178,196826997.0,1,174,0.47498199232293326
29138278000705,NOVA IGUACU PREFEITURA,538,81660684.78,62002345.0,1,42,1.3170580044996685
04279238000159,MUNICIPIO DE JARU,3247,80768059.57,34910451.0,1,192,2.313578233921985
21467008000132,FUNDO MUNICIPAL DE SAUDE,960,80541699.48,25827346.0,1,100,3.118465965492544
46634200000105,MUNICIPIO DE ITAI,2442,79668462.3328,88573828.0,1,89,0.8994582726265371
14814139000183,FUNDACAO ESTATAL DE ATENCAO ESPECIALIZADA EM SAUDE DE CURITIBA (FEAES - CURITIBA),1119,78922049.7236,19670550.0,1,113,4.012193340989449
06205888000185,CONSORCIO INTERMUNICIPAL DO VALE DO JACUI,721,76625453.864,1865533580.0,1,27,0.04107428281403543
18431312001359,MUNICIPIO DE UBERLANDIA,441,74220591.4799,250120252.0,1,113,0.29673963178279544
46137410000180,MUNICIPIO DE BAURU,1072,71403369.2274,321036753.0,1,111,0.22241493710659355
10572048000209,SECRETARIA DE SAUDE,454,71280828.2923,13501422.0,1,54,5.2795052470991575
46523049000120,MUNICIPIO DE COTIA,974,69959314.193,82628063.0,1,12,0.846677407807563
03269695000108,CONSORCIO INTERMUNIC DE SAUDE DO MEDIO VALE DO ITAJAI,948,68703516.86,485793153.0,1,67,0.14142545327311354
13792329000184,FUNDO MUNICIPAL DA SAUDE,671,65936871.369,458692702.0,1,78,0.14374955407291395
11855524000180,FUNDO MUNICIPAL DE SAUDE DE ITAGUAI - FMSI,1794,62494172.768,82846469.0,1,145,0.7543371917033663
45279635000108,MUNICIPIO DE ATIBAIA,1011,60075757.1,167174128.0,1,112,0.3593603736338915
18478187000107,FUNDO MUNICIPAL DE SAUDE DE MARABA,1974,58373351.505,73355387.0,1,131,0.7957609371619838
11266975000182,FUNDO MUNICIPAL DE SAUDE,456,56798701.36,658968102.0,1,57,0.08619340023836237
08935681000191,FUNDO MUNICIPAL DE SAUDE DE FLORIANOPOLIS,464,50889279.7638,265070583.0,1,35,0.1919838828882796
11471451000123,FUNDO MUNICIPAL DE SAUDE,671,48800023.164,68596739.0,1,9,0.7114044176939665
13650403000128,MUNICIPIO DE TEIXEIRA DE FREITAS,752,46706324.806,51697244.0,1,90,0.9034586989975714
48468284000171,MUNICIPIO DE GUARARAPES,914,46163373.8125,2271219.0,1,47,20.325373208175876
76105543000135,MUNICIPIO DE SAO JOSE DOS PINHAIS,800,45622212.35,156363641.0,1,98,0.29176995405217
02049227000157,CIMCERO - CONSORCIO INTERMUNICIPAL DA REGIAO CENTRO LESTE DO ESTADO DE RONDONIA,120,44907170.24,41839538.0,1,2,1.073318979765025
04228734000183,FUNDACAO SERVICOS DE SAUDE DE MATO GROSSO DO SUL-SAUDE-MS,680,43963771.13,3924844.0,1,109,11.201405999830822
14587933000131,FUNDO MUNICIPAL DE SAUDE DE VIANA,280,43783005.5,303163750.0,1,52,0.14442031905199748
46482857000196,MUNICIPIO DE UBATUBA,1759,43052142.46,87239640.0,1,159,0.49349289451446615
11155765000117,FUNDO MUNICIPAL DE SAUDE,864,42748689.22,90406719.0,1,152,0.4728485857339873
22004126000177,FUNDO MUNICIPAL DE SAUDE,239,42306205.35,31341066.0,1,27,1.349864913656734
15344304000143,CONSORCIO INTERMUNICIPAL DA REGIAO NORDESTE,638,40588987.0972,106544225.0,1,44,0.3809590533621132
32370759000152,FUNDACAO MUNICIPAL DE SAUDE DE PONTA GROSSA,1009,39409189.806,118509987.0,1,121,0.33253897670244453
76309806000128,MUNICIPIO DE CIANORTE,2003,38535309.322,183278534.0,1,132,0.2102554428005191
46634507000106,MUNICIPIO DE SALTO,1543,37515552.4544,51913802.0,1,105,0.7226508367543568
19122075000173,FUNDO MUNICIPAL DE SAUDE DE JI-PARANA,957,37236014.38,20932524.0,1,111,1.7788592708648037
80257355000108,UNIVERSIDADE ESTADUAL DE PONTA GROSSA,1387,36650084.4472,9167105.0,1,176,3.997999853519732
11248285000109,FUNDO MUNICIPAL DE SAUDE,1264,35926392.12,70871821.0,1,110,0.5069206860086183
51816247000111,MUNICIPIO DE MONTE ALTO,2321,35124128.0638,65563154.0,1,99,0.5357296884130986
03330461000110,MUNICIPIO DE CORUMBA,400,34645777.1,81546700.0,1,23,0.4248581132038452
13034603000156,FUNDO MUNICIPAL DE SAUDE DE TRES LAGOAS-MS,1085,33767305.7522,104293144.0,1,64,0.3237730157238332
11430018000140,FUNDO ESTADUAL DE SAUDE DE PERNAMBUCO,22,33093307.098,1608661.0,1,15,20.57195835418401
05943030000155,MUNICIPIO DE BOA VISTA,240,32785142.39,57149733.0,1,42,0.5736709634321476
88566872000162,MUNICIPIO DO RIO GRANDE,614,31615540.103,90300059.0,1,94,0.3501164944200092
14792165000158,FUNDO MUNICIPAL DE SAUDE DE VITORIA,335,31444963.35,145414540.0,1,82,0.21624359812987065
03887256000150,CONSORCIO INTERMUNICIPAL DE SAUDE DA REGIAO DO CONTESTADO,681,30859170.621,111885770.0,1,29,0.27580961029271195
