fabricante_id,fabricante,ocorrencias,rotulo
50328590000154,UNITEC INDUSTRIA E COMERCIO DE APARELHOS HOSPITALARES LTDA,101,UNITEC INDUSTRIA E COMER [M1897]
50371889000191,PRECISION CENTRO DE DIAGNOSTICOS LTDA,19,PRECISION CENTRO DE DIAG [M1898]
50416720000100,MILLENNIUM INDUSTRIA E COMERCIO DE INSTRUMENTAL ODONTOLOGICO LTDA,1,MILLENNIUM INDUSTRIA E C [M1899]
50657402000131,EBRAM PRODUTOS LABORATORIAIS LTDA,139,EBRAM PRODUTOS LABORATOR [M1900]
50770643000192,AUDAX QUIMICA INDUSTRIA E COMERCIO DE PRODUTOS PARA HIGIENE E LIMPEZA LTDA,10,AUDAX QUIMICA INDUSTRIA  [M1901]
50885268000126,"NSR INDUSTRIA , COMERCIO E REPRESENTACOES LTDA",13,"NSR INDUSTRIA , COMERCIO [M1902]"
50889060000185,LF INDUSTRIA E COMERCIO DE PAPEIS LTDA,1,LF INDUSTRIA E COMERCIO  [M1903]
50929710000179,MEDLEY INDUSTRIA FARMACEUTICA LTDA,414,MEDLEY INDUSTRIA FARMACE [M1904]
50938745000174,THEOTO S A INDUSTRIA E COMERCIO,329,THEOTO S A INDUSTRIA E C [M1905]
51285641000170,EMBRAMAC - EMPRESA BRASILEIRA DE MATERIAIS CIRURGICOS INDUSTRIA COMERCIO IMPORTACAO E EXPORTACAO LTDA,42,EMBRAMAC - EMPRESA BRASI [M1906]
51425213000104,WELMY-INDUSTRIA E COMERCIO LTDA,27,WELMY-INDUSTRIA E COMERC [M1907]
51462471000152,LABSYNTH PRODUTOS PARA LABORATORIOS LTDA,4,LABSYNTH PRODUTOS PARA L [M1908]
51533527000112,ATACADISTA DE FRALDAS MUNDIAL LTDA,3,ATACADISTA DE FRALDAS MU [M1909]
51753374000119,GOLGRAN INDUSTRIA E COMERCIO DE INSTRUMENTAL ODONT LTDA,1095,GOLGRAN INDUSTRIA E COME [M1910]
51780468000187,JANSSEN-CILAG FARMACEUTICA LTDA,821,JANSSEN-CILAG FARMACEUTI [M1911]
51780468000268,JANSSEN-CILAG FARMACEUTICA LTDA,45,JANSSEN-CILAG FARMACEUTI [M1912]
51943645000107,BIOMEDICAL EQUIPAMENTOS E PROD MEDICO-CIRURGICOS LTDA,104,BIOMEDICAL EQUIPAMENTOS  [M1913]
52270527000130,AMERICAN ALLOYS ACESSORIOS INDUSTRIAIS LTDA,12,AMERICAN ALLOYS ACESSORI [M1914]
52393246000174,"CALU - INDUSTRIA, EXPORTACAO E IMPORTACAO DE EQUIPAMENTOS ODONTOLOGICOS LTDA",18,"CALU - INDUSTRIA, EXPORT [M1915]"
52455870000159,TRON INDUSTRIAL REFRIGERACAO E ELETRONICA LTDA,2,TRON INDUSTRIAL REFRIGER [M1916]
53056057000179,RECORDATI RARE DISEASES COMERCIO DE MEDICAMENTOS LTDA.,22,RECORDATI RARE DISEASES  [M1917]
53078135000136,EYE PHARMA LTDA,1,EYE PHARMA LTDA [M1918]
53144929000150,XENONIO INDUSTRIA DE EQUIPAMENTOS MEDICOS LTDA,4,XENONIO INDUSTRIA DE EQU [M1919]
53288386000145,EPRON MECANISMOS INDUSTRIA E COMERCIO LTDA,21,EPRON MECANISMOS INDUSTR [M1920]
53359824000119,BLANVER FARMOQUIMICA E FARMACEUTICA S.A.,118,BLANVER FARMOQUIMICA E F [M1921]
53359824000461,BLANVER FARMOQUIMICA E FARMACEUTICA S.A.,13,BLANVER FARMOQUIMICA E F [M1922]
53381135000100,ALL PRIME DISTRIBUIDORA LTDA,10,ALL PRIME DISTRIBUIDORA  [M1923]
