fornecedor_id,fornecedor,ocorrencias,rotulo
07311678000134,DROGARIA RESENDE & RESENDE LTDA,6,DROGARIA RESENDE & RESEN [F0735]
07316691000186,FORMULAS MAGISTRAIS MANIPULACOES ESPECIAIS LTDA,100,FORMULAS MAGISTRAIS MANI [F0736]
07322719000198,R PLUS COMERCIAL VAREJISTA LTDA,3,R PLUS COMERCIAL VAREJIS [F0737]
07336942000194,DIGEMAN - DISTRIBUIDORA GERAL DE MEDICAMENTOS ANANINDEUA LTDA,22,DIGEMAN - DISTRIBUIDORA  [F0738]
07344756000105,PRO-SAUDE COMERCIO DE PRODUTOS HOSPITALARES LTDA,405,PRO-SAUDE COMERCIO DE PR [F0739]
07370983000105,J.R. COMERCIO DE FIOS LTDA,12,J.R. COMERCIO DE FIOS LT [F0740]
07377489000164,FOX BRASIL COMERCIO DE MATERIAL HOSPITALAR LTDA,103,FOX BRASIL COMERCIO DE M [F0741]
07396733000136,MARINGA HOSPITALAR DISTR. DE MEDICAMENTOS E CORRELATOS LTDA,23,MARINGA HOSPITALAR DISTR [F0742]
07404103000166,HUMANAS DISTRIBUIDORA BIOMEDICA LTDA,16,HUMANAS DISTRIBUIDORA BI [F0743]
07404801000161,GUTIERRE CENTRAL DE COMPRAS ODONTOLOGICAS S.A,3,GUTIERRE CENTRAL DE COMP [F0744]
07415503000177,A&A GOLD PHARMA INDUSTRIA LTDA,1,A&A GOLD PHARMA INDUSTRI [F0745]
07415627000152,TKL IMPORTACAO E EXPORTACAO DE PRODUTOS MEDICOS E HOSPITALARES LTDA,1,TKL IMPORTACAO E EXPORTA [F0746]
07415627000403,TKL IMPORTACAO E EXPORTACAO DE PRODUTOS MEDICOS E HOSPITALARES LTDA,1,TKL IMPORTACAO E EXPORTA [F0747]
07415772000133,"MICROSUTURE INDUSTRIA, COMERCIO, IMPORTACAO, EXPORTACAO E REPRESENTACAO DE MATERIAIS CIRURGICOS LTDA",6,"MICROSUTURE INDUSTRIA, C [F0748]"
07422196000151,VITALLI COMERCIO E IMPORTACAO LTDA,2,VITALLI COMERCIO E IMPOR [F0749]
07455576000192,VIDA FORTE NUTRIENTES INDUSTRIA E COMERCIO DE PRODUTOS NATURAIS LTDA,7,VIDA FORTE NUTRIENTES IN [F0750]
07472938000153,ARAUJO COMERCIO DE PRODUTOS FARMACEUTICOS LTDA,71,ARAUJO COMERCIO DE PRODU [F0751]
07484373000124,UNI HOSPITALAR LTDA,410,UNI HOSPITALAR LTDA [F0752]
07490167000127,LOPES E SOUZA SOLUCOES INTEGRADAS LTDA,9,LOPES E SOUZA SOLUCOES I [F0753]
07490775000131,VEBRA SOLUCOES HOSPITALARES LTDA,1,VEBRA SOLUCOES HOSPITALA [F0754]
07499258000123,M P - COMERCIO DE MATERIAIS HOSPITALARES LTDA.,1,M P - COMERCIO DE MATERI [F0755]
07504668000115,DROGARIA PRATA LTDA,11,DROGARIA PRATA LTDA [F0756]
07540203000110,MEDIFARR PRODUTOS PARA A SAUDE LTDA.,1,MEDIFARR PRODUTOS PARA A [F0757]
07555270000108,VEC HOSPITALAR LTDA,21,VEC HOSPITALAR LTDA [F0758]
07563176000109,WEBERTH B. SOUSA,71,WEBERTH B. SOUSA [F0759]
07565780000166,T R S DISTRIBUIDORA DE MATERIAIS HOSPITALARES LTDA,7,T R S DISTRIBUIDORA DE M [F0760]
07569029000138,CHOLMED COMERCIAL HOSPITALAR LTDA,31,CHOLMED COMERCIAL HOSPIT [F0761]
07590023000142,HAND LIFE SUPRIMENTOS MEDICOS E FISIOTERAPICOS LTDA,3,HAND LIFE SUPRIMENTOS ME [F0762]
07626776000160,CIRURGICA SAO FELIPE PRODUTOS PARA SAUDE LTDA,162,CIRURGICA SAO FELIPE PRO [F0763]
07628070000138,INDUSTRIA E COMERCIO COLCHOES ORTHOVIDA LTDA,2,INDUSTRIA E COMERCIO COL [F0764]
07640617000110,DISTRIBUIDORA BRASIL COML DE PRODUTOS MEDICOS HOSPITALARES LTDA,385,DISTRIBUIDORA BRASIL COM [F0765]
07640617000200,DISTRIBUIDORA BRASIL COML DE PRODUTOS MEDICOS HOSPITALARES LTDA,115,DISTRIBUIDORA BRASIL COM [F0766]
07641623000192,KARLA DILLANY GOMES BESSA LTDA,1,KARLA DILLANY GOMES BESS [F0767]
07642426000198,EQUILIBRIUM DISTRIBUIDORA DE MEDICAMENTOS LTDA,1,EQUILIBRIUM DISTRIBUIDOR [F0768]
07654936000185,L A DOS SANTOS DISTRIBUIDORA DE MEDICAMENTOS,252,L A DOS SANTOS DISTRIBUI [F0769]
07672177000183,TRIANGULO COMERCIO DE MEDICAMENTOS LTDA,1,TRIANGULO COMERCIO DE ME [F0770]
07699581000140,POLLITEX EMBALAGENS FLEXIVEIS LTDA,1,POLLITEX EMBALAGENS FLEX [F0771]
07700245000170,CIRURGICA VITORIA COMERCIO DE MEDICAMENTOS LTDA,24,CIRURGICA VITORIA COMERC [F0772]
07707681000171,SOUZA & LEONARDI LTDA,1,SOUZA & LEONARDI LTDA [F0773]
07707978000137,NEWCARE COMERCIO DE MATERIAIS CIRURGICOS E HOSPITALARES LTDA,13,NEWCARE COMERCIO DE MATE [F0774]
07724173000444,PONTUAL FARMACEUTICA NR 2006 LTDA,6,PONTUAL FARMACEUTICA NR  [F0775]
07724523000120,ALVES E SARTOR LTDA,2,ALVES E SARTOR LTDA [F0776]
07726133000199,CICLA DISTRIBUIDORA DE PRODUTOS PARA DIAGNOSTICOS LTDA,1,CICLA DISTRIBUIDORA DE P [F0777]
07729330000161,DROGARIA BIOFARMA JUSSARA LTDA,164,DROGARIA BIOFARMA JUSSAR [F0778]
07729499000111,MEGA COMERCIO DE PRODUTOS HOSPITALARES LTDA,82,MEGA COMERCIO DE PRODUTO [F0779]
07731777000175,COMERCIAL GUARA LTDA,1,COMERCIAL GUARA LTDA [F0780]
07746196000107,BIOPHARMUS MOGI MIRIM LTDA,1,BIOPHARMUS MOGI MIRIM LT [F0781]
07752236000123,MEDILAR IMPORTACAO E DISTRIBUICAO DE PRODUTOS MEDICO HOSPITALARES S/A,2897,MEDILAR IMPORTACAO E DIS [F0782]
07752236000476,MEDILAR IMPORTACAO E DISTRIBUICAO DE PRODUTOS MEDICO HOSPITALARES S/A,70,MEDILAR IMPORTACAO E DIS [F0783]
07752236000808,MEDILAR IMPORTACAO E DISTRIBUICAO DE PRODUTOS MEDICO HOSPITALARES S/A,97,MEDILAR IMPORTACAO E DIS [F0784]
07752236001014,MEDILAR IMPORTACAO E DISTRIBUICAO DE PRODUTOS MEDICO HOSPITALARES S/A,3,MEDILAR IMPORTACAO E DIS [F0785]
07760277000161,MEDMAX - COMERCIO DE EQUIPAMENTOS MEDICOS E SIMILARES LTDA,10,MEDMAX - COMERCIO DE EQU [F0786]
07768887000101,MDF DISTRIBUIDORA DE PRODUTOS FARMACEUTICOS E HOSPITALARES LTDA,25,MDF DISTRIBUIDORA DE PRO [F0787]
07788510000114,"IN-DENTAL PRODUTOS ODONTOLOGICOS, MEDICOS E HOSPITALARES LTDA",255,IN-DENTAL PRODUTOS ODONT [F0788]
07790854000168,GLOBALMIX DISTRIBUIDORA DE MEDICAMENTOS E CORRELATOS LTDA,52,GLOBALMIX DISTRIBUIDORA  [F0789]
07799595000136,CLEBER MICHAEL PAGANELI,4,CLEBER MICHAEL PAGANELI [F0790]
07809370000113,GRACIFARMA FARMACIA LTDA,5,GRACIFARMA FARMACIA LTDA [F0791]
07827565000196,DL DENTAL LTDA,15,DL DENTAL LTDA [F0792]
07832455000112,BRAGANTINA DISTRIBUIDORA DE MEDICAMENTOS LTDA,211,BRAGANTINA DISTRIBUIDORA [F0793]
07847837000110,CIENTIFICA MEDICA HOSPITALAR LTDA,642,CIENTIFICA MEDICA HOSPIT [F0794]
