instituicao_id,instituicao,ocorrencias,rotulo
09457349000121,FUNDO MUNICIPAL DE SAUDE DE INAJA PARANA,21,FUNDO MUNICIPAL DE SAUDE [I0208]
09468040000137,FUNDO MUNICIPAL DE SAUDE DE PIRAQUARA,776,FUNDO MUNICIPAL DE SAUDE [I0209]
09472866000170,FUNDO MUNICIPAL DE SAUDE DO M UNICIPIO DE NOVA AURORA,277,FUNDO MUNICIPAL DE SAUDE [I0210]
09485333000122,FUNDO MUNICIPAL DE SAUDE,755,FUNDO MUNICIPAL DE SAUDE [I0211]
09494245000197,FUNDO MUNICIPAL DE SAUDE,257,FUNDO MUNICIPAL DE SAUDE [I0212]
09520756000136,FUNDO MUNICIPAL DE SAUDE,417,FUNDO MUNICIPAL DE SAUDE [I0213]
09535844000101,FUNDO MUNICIPAL DE SAUDE DE GRANDES RIOS,599,FUNDO MUNICIPAL DE SAUDE [I0214]
09536254000101,FUNDO MUNICIPAL DE SAUDE DE SAO MIGUEL DO GUAPORE,81,FUNDO MUNICIPAL DE SAUDE [I0215]
09555110000194,FUNDO MUNICIPAL DE SAUDE,1409,FUNDO MUNICIPAL DE SAUDE [I0216]
09583958000127,SAUDE - IS,23,SAUDE - IS [I0217]
09588897000190,FUNDO MUNICIPAL DE SAUDE - MUNICIPIO DE NOVA TEBAS PARANA,1505,FUNDO MUNICIPAL DE SAUDE [I0218]
09647690000140,FUNDO MUNICIPAL DE SAUDE,565,FUNDO MUNICIPAL DE SAUDE [I0219]
09652908000154,FUNDO MUNICIPAL DE SAUDE DE FENIX,65,FUNDO MUNICIPAL DE SAUDE [I0220]
09654201000187,FUNDO MUNICIPAL DE SAUDE DE RIBEIRAO DO PINHAL,461,FUNDO MUNICIPAL DE SAUDE [I0221]
10091569000163,MUNICIPIO DE SANTA CRUZ DO CAPIBARIBE,77,MUNICIPIO DE SANTA CRUZ  [I0222]
10234992000175,FUNDO MUNICIPAL DE SAUDE DE CACHOEIRINHA,261,FUNDO MUNICIPAL DE SAUDE [I0223]
10254294000131,FMS SANTANA DO MUNDAU,427,FMS SANTANA DO MUNDAU [I0224]
